Meeting,Meeting Date,Origin,Index Title,Title,Published,Page URL,PDF URL
SAGE 26,2020-04-16,Dynamic CO-CIN report,"Dynamic CO-CIN Report to SAGE and NERVTAG, 15 April 2020","Dynamic CO-CIN Report to SAGE and NERVTAG, 15 April 2020",2020-05-20,https://www.gov.uk/government/publications/dynamic-co-cin-report-to-sage-and-nervtag-15-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888226/s0139-co-cin-report-150420-sage26.pdf
SAGE 26,2020-04-16,SPI-M,"SPI-M: The role of children in transmission, 16 April 2020",SPI-M: The role of children in transmission - 16 April 2020,2020-05-22,https://www.gov.uk/government/publications/spi-m-the-role-of-children-in-transmission-16-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/894616/s0141-sage-sub-group-role-children-transmission-160420-sage26.pdf
SAGE 26,2020-04-16,NERVTAG,"NERVTAG: Wearing facemasks in a community setting - options and evidence, 16 April 2020",Wearing facemasks in a community setting: options and evidence - 16 April 2020,2020-06-05,https://www.gov.uk/government/publications/nervtag-wearing-facemasks-in-a-community-setting-options-and-evidence-16-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890233/s0150-wearing-facemasks-community-setting-options-evidence-160420-sage26.pdf
SAGE 26,2020-04-16,Kings College London,"Associations between symptoms and COVID-19 infection, 16 April 2020",Associations between symptoms and COVID-19 infection - 16 April 2020,2020-06-05,https://www.gov.uk/government/publications/associations-between-symptoms-and-covid-19-infection-16-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890238/s0144-associations-between-symptoms-covid-19-infection-160420-sage26.pdf
SAGE 26,2020-04-16,Kings College London,"Loss of smell and taste in combination with other symptoms is a strong predictor of COVID-19 infection, 15 April 2020",Loss of smell and taste in combination with other symptoms is a strong predictor of COVID-19 infection - 15 April 2020,2020-06-05,https://www.gov.uk/government/publications/loss-of-smell-and-taste-in-combination-with-other-symptoms-is-a-strong-predictor-of-covid-19-infection-15-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890231/s0145-loss-smell-taste-predictor-covid-19-infection-150420-sage26.pdf
SAGE 26,2020-04-16,Kings College London and ZOE,"Time series clustering of COVID-19 symptoms, 16 April 2020",Time series clustering of COVID symptoms: the KCL-ZOE analysis team - 16 April 2020,2020-06-05,https://www.gov.uk/government/publications/time-series-clustering-of-covid-19-symptoms-16-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890240/s0146-time-series-clustering-covid-symptoms-kcl-zoe-160420-sage26.pdf
SAGE 26,2020-04-16,PHE,"PHE: Collation of hospital transmission data from HPZone, 5 April 2020",Collation of Hospital Transmission Data from HPZone - 5 April 2020,2020-06-05,https://www.gov.uk/government/publications/phe-collation-of-hospital-transmission-data-from-hpzone-5-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890127/s0134-collation-hospital-transmission-data-hpzone-050420-sage26.pdf
SAGE 26,2020-04-16,PHE,"PHE: Community surveillance following the lifting of restrictions, 16 April 2020",PHE paper for SAGE: Community surveillance following the lifting of restrictions - 16 April 2020,2020-06-05,https://www.gov.uk/government/publications/phe-community-surveillance-following-the-lifting-of-restrictions-16-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890242/s0147-community-surveillance-following-lifting-restrictions-160420-sage26.pdf
SAGE 26,2020-04-16,NHS England and NHS Improvement,"Hospital onset COVID-19: IPC evidence from recent survey and next steps, 16 April 2020",Hospital onset COVID-19: IPC evidence from recent survey and next steps - 16 April 2020,2020-06-12,https://www.gov.uk/government/publications/hospital-onset-covid-19-ipc-evidence-from-recent-survey-and-next-steps-16-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/892034/S0140_Hospital_Onset_Covid-19_-_IPC_evidence_from_recent_survey_and_next_steps.pdf
SAGE 26,2020-04-16,SPI-M,"SPI-M: the general principles and assumptions on transmission of SARS-CoV-2, 16 April 2020",SPI-M: the general principles and assumptions on transmission of SARS-CoV-2 - 16 April 2020,2020-06-12,https://www.gov.uk/government/publications/spi-m-the-general-principles-and-assumptions-on-transmission-of-sars-cov-2-16-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/891882/S0142_SPI-M_-_the_general_principles_and_assumptions_on_transmission_of_SARS-CoV-2.pdf
SAGE 26,2020-04-16,PHE,"PHE: Details of PHE involvement with ISARIC and any information on samples collected and their distribution, 16 April 2020",Details of PHE involvement with ISARIC and any information on samples collected and their distribution - 16 April 2020,2020-06-19,https://www.gov.uk/government/publications/phe-details-of-phe-involvement-with-isaric-and-any-information-on-samples-collected-and-their-distribution-16-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/893505/S0143_Details_of_PHE_involvment_with_ISARIC.pdf
SAGE 26,2020-04-16,,"Vaccine Taskforce aims, 6 April 2020",Vaccine Taskforce aims - 6 April 2020,2020-06-19,https://www.gov.uk/government/publications/vaccine-taskforce-aims-6-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/893417/S0135_Vaccine_Taskforce_Aims.pdf
SAGE 26,2020-04-16,Imperial College London,"The dynamics of humoral immune response following SARS-CoV-2 infection and the potential for reinfection, 16 April 2020",The dynamics of humoral immune response following SARS-CoV-2 infection and the potential for reinfection - 16 April 2020,2020-06-19,https://www.gov.uk/government/publications/the-dynamics-of-humoral-immune-response-following-sars-cov-2-infection-and-the-potential-for-reinfection-16-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/893183/S0151_Dynamics_of_humoral_immune_response_following_SARS-CoV-2.pdf
SAGE 26,2020-04-16,,"Aim for UK ensuring promising therapies to be tested as fast as possible and for patients to access medicine as soon as possible, 16 April 2020",UK government Therapeutics Taskforce - 16 April 2020,2020-06-19,https://www.gov.uk/government/publications/aim-for-uk-ensuring-promising-therapies-to-be-tested-as-fast-as-possible-and-for-patients-to-access-medicine-as-soon-as-possible-16-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/893409/S0148_Therapeutics_Taskforce_Specification.pdf
SAGE 26,2020-04-16,,"Using BBC Pandemic data to model the impact of isolation, testing, contact tracing and physical distancing on reducing transmission of Covid-19 in different settings, 16 April 2020","Using BBC Pandemic data to model the impact of isolation, testing, contact tracing and physical distancing on reducing transmission of Covid-19 in different settings - 16 April 2020",2020-06-19,https://www.gov.uk/government/publications/using-bbc-pandemic-data-to-model-the-impact-of-isolation-testing-contact-tracing-and-physical-distancing-on-reducing-transmission-of-covid-19-in-dif,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/893644/S0138_2020_04_15_Impact_of_testing_and_tracing.pdf
SAGE 27,2020-04-21,SAGE Minutes,"SAGE 27 minutes: Coronavirus (COVID-19) response, 21 April 2020",Twenty-seventh SAGE meeting on Covid-19 - 21 April 2020,2020-05-29,https://www.gov.uk/government/publications/sage-minutes-coronavirus-covid-19-response-21-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888799/S0396_Twenty-seventh_SAGE_meeting_on_Covid-19.pdf
SAGE 27,2020-04-21,CO-CIN,"CO-CIN: Effect on ethnicity on outcome after COVID-19 - report to SAGE and NERVTAG, 19 April 2020",Effect on ethnicity on outcome after Covid-19 (report to SAGE and NERVTAG) - 19 April 2020,2020-05-20,https://www.gov.uk/government/publications/co-cin-effect-on-ethnicity-on-outcome-after-covid-19-report-to-sage-and-nervtag-19-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/889031/s0204-co-cin-report-ethnicity-outcomes-190420-sage27.pdf
SAGE 27,2020-04-21,Dynamic CO-CIN report,"Dynamic CO-CIN report to SAGE and NERVTAG, 20 April 2020","Dynamic CO-CIN report to SAGE and NERVTAG, 20 April 2020",2020-05-20,https://www.gov.uk/government/publications/dynamic-co-cin-report-to-sage-and-nervtag-20-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888227/s0205-co-cin-report-200420-sage27.pdf
SAGE 27,2020-04-21,SPI-M,"SPI-M: Consensus statement on COVID-19, 20 April 2020",SPI-M: Consensus statement on COVID-19 - 20 April 2020,2020-05-29,https://www.gov.uk/government/publications/spi-m-consensus-statement-on-covid-19-20-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888763/S0201_SAGE27_200420_SPI-M-O_consensus_statement.pdf
SAGE 27,2020-04-21,SPI-B,"SPI-B: The use of facemasks in a community setting, 20 April 2020",SPI-B return to SAGE on the use of facemasks in a community setting - 20 April 2020,2020-05-29,https://www.gov.uk/government/publications/spi-b-the-use-of-facemasks-in-a-community-setting-20-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888572/4c._200420_SPI-B_return_to_SAGE_CMO_on_facemasks_FINAL_S0208.pdf
SAGE 27,2020-04-21,,"COVID-19 antibody seroprevalence in Santa Clara County, California, 27 April 2020","COVID-19 antibody seroprevalence in Santa Clara County, California - 27 April 2020",2020-06-05,https://www.gov.uk/government/publications/covid-19-antibody-seroprevalence-in-santa-clara-county-california-27-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890152/s0221-covid-19-antibody-seroprevalence-santa-clara-county-california-270420-sage27.pdf
SAGE 27,2020-04-21,,"How best to use limited tests? Improving COVID-19 surveillance in long-term care, 19 April 2020",How best to use limited tests? Improving COVID-19 surveillance in long-term care - 19 April 2020,2020-06-05,https://www.gov.uk/government/publications/how-best-to-use-limited-tests-improving-covid-19-surveillance-in-long-term-care-19-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890234/s0225-how-best-use-limited-tests-190420-sage27.pdf
SAGE 27,2020-04-21,SPI-M/SPI-B,"SPI-M/SPI-B: Principles for the design of behavioural and social interventions, 21 April 2020",Principles for the design of behavioural and social interventions - 20 April 2020,2020-06-12,https://www.gov.uk/government/publications/principles-for-the-design-of-behavioural-and-social-interventions-20-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/892046/S0217_Principles_for_the_design_of_behavioural_and_social_interventions.pdf
SAGE 27,2020-04-21,DELVE,"DELVE: Report on face masks for the general public, 21 April 2020",DELVE report on face masks for the general public (Draft - Version 2) - 21 April 2020,2020-06-19,https://www.gov.uk/government/publications/delve-report-on-face-masks-for-the-general-public-21-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/893227/S0206_DELVE_report_on_Face_Masks_for_the_General_Public.pdf
SAGE 27,2020-04-21,Academy of Medical Sciences/British Society of Immunology,"What the latest research on COVID-19 immunology can tell us about responding to the epidemic: expert summary, 16 April 2020",Expert summary - What the latest research on COVID-19 immunology can tell us about responding to the epidemic - 16 April 2020,2020-06-19,https://www.gov.uk/government/publications/what-the-latest-research-on-covid-19-immunology-can-tell-us-about-responding-to-the-epidemic-expert-summary-16-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/893187/S0213_Expert_summary_-_British_Society_for_Immunology.pdf
SAGE 27,2020-04-21,University of Manchester,"Preliminary analysis of PHE care home data, 19 April 2020",Preliminary analysis of PHE Care Home data - 19 April 2020,2020-06-19,https://www.gov.uk/government/publications/preliminary-analysis-of-phe-care-home-data-19-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/893126/S0218_Preliminary_analysis_of_PHE_Care_Home_Data.pdf
SAGE 27,2020-04-21,Imperial College London,"Potential impact of face covering on the transmissibility of SARS-CoV-2 in the UK, 20 April 2020",Potential impact of face covering on the transmissibility of SARS-CoV-2 in the UK - 20 April 2020,2020-06-19,https://www.gov.uk/government/publications/potential-impact-of-face-covering-on-the-transmissibility-of-sars-cov-2-in-the-uk-20-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/893648/S0207_Imperial_face_covering_plausible.pdf
SAGE 27,2020-04-21,Various authors,"Effectiveness of isolation, testing, contact tracing and physical distancing on reducing transmission of COVID-19 in different settings: Draft for SPI-M, 20 April 2020","Effectiveness of isolation, testing, contact tracing and physical distancing on reducing transmission of Covid-19 in different settings: Draft for SPI-M - 20 April 2020",2020-06-19,https://www.gov.uk/government/publications/effectiveness-of-isolation-testing-contact-tracing-and-physical-distancing-on-reducing-transmission-of-covid-19-in-different-settings-draft-for-spi,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/893651/S0212_Impact_of_testing_and_tracing.pdf
SAGE 27,2020-04-21,SPI-M-O,"SPI-M-O: COVID-19 short-term pilot forecasts, 19 April 2020",SPI-M-O short-term forecasts (pilot) - 19 April 2020,2020-09-11,https://www.gov.uk/government/publications/spi-m-o-covid-19-short-term-pilot-forecasts-19-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/917029/SAGE27_2a._20200420_forecasts_SAGE_S0199_for_release_v2.pdf
SAGE 27,2020-04-21,Imperial College London,"Strategies for long-term management of COVID-19 transmission, 21 April 2020","Strategies for long-term management of COVID-19 transmission, 21 April 2020",2020-12-11,https://www.gov.uk/government/publications/strategies-for-long-term-management-of-covid-19-transmission-21-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/943099/S0211_Imperial_Strategies_for_long-term_management_of_COVID-19_transmission.pdf
SAGE 28,2020-04-23,SAGE Minutes,"SAGE 28 minutes: Coronavirus (COVID-19) response, 23 April 2020",Twenty-eighth SAGE meeting on COVID-19 - 23 April 2020,2020-05-29,https://www.gov.uk/government/publications/sage-minutes-coronavirus-covid-19-response-23-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888801/S0397_Twenty-eighth_SAGE_meeting_on_Covid-19_.pdf
SAGE 28,2020-04-23,University of St Andrews and the University of Keele,"Policing the coronavirus outbreak: processes and prospects for collective disorder, 19 April 2020","Policing the coronavirus outbreak: processes and prospects for collective disorder, 19 April 2020",2020-05-29,https://www.gov.uk/government/publications/policing-the-coronavirus-outbreak-processes-and-prospects-for-collective-disorder-19-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888749/6c._Coronavirus_riots_briefing_S0236.pdf
SAGE 28,2020-04-23,SPI-B subgroup on Security and Policing,"How an exit strategy might affect crime and policing - working paper, 21 April 2020",Working paper of SPI-B Security and Policing sub-Group in response to Home Office commission - 21 April 2020,2020-05-29,https://www.gov.uk/government/publications/how-an-exit-strategy-might-affect-crime-and-policing-working-paper-21-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888673/6a._Response_to_Questions__Submission_draft__S0234.pdf
SAGE 28,2020-04-23,SPI-B,"SPI-B: Approach to suppress and control route - initial view, 22 April 2020","SPI-B initial view: What is the best approach to encourage people to engage with the behaviours required for a suppress and control route, 22 April 2020",2020-05-29,https://www.gov.uk/government/publications/spi-b-approach-to-suppress-and-control-route-initial-view-22-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888671/4c._20.04.23_SPI-B_initial_view_on_behaviours_required_for_a_suppress_and_control_route__1__S0233.pdf
SAGE 28,2020-04-23,SPI-B,"SPI-B: How behaviour may change following testing - initial response, 22 April 2020",What can we say about how behaviour may change following testing? Initial response from SPI-B - 22 April 2020,2020-05-29,https://www.gov.uk/government/publications/spi-b-how-behaviour-may-change-following-testing-initial-response-22-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888576/4b._20.04.23_SPI-B_intial_view_on_behavioural_considerations_of_testing__1__S0232.pdf
SAGE 28,2020-04-23,SPI-B subgroup on Security,Neighbourhood-level release and COVID-19,Neighbourhood-level release ,2020-05-29,https://www.gov.uk/government/publications/neighbourhood-level-release-and-covid-19,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888746/6b._Localised_lifting_S0235_Redacted.pdf
SAGE 28,2020-04-23,Dynamic CO-CIN report,"Dynamic CO-CIN report to SAGE and NERVTAG, 22 April 2020","Dynamic CO-CIN report to SAGE and NERVTAG, 22 April 2020",2020-05-20,https://www.gov.uk/government/publications/dynamic-co-cin-report-to-sage-and-nervtag-22-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888228/s0230-co-cin-report-220420-sage28.pdf
SAGE 29,2020-04-28,SAGE Minutes,"SAGE 29 minutes: Coronavirus (COVID-19) response, 28 April 2020",Twenty-ninth SAGE meeting on COVID-19 - 28 April 2020,2020-05-29,https://www.gov.uk/government/publications/sage-minutes-coronavirus-covid-19-response-28-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888802/S0398_Twenty-ninth_SAGE_meeting_on_Covid-19_.pdf
SAGE 29,2020-04-28,SPI-M-O,"SPI-M-O: Consensus statement on COVID-19, 27 April 2020","SPI-M-O Consensus Statement on COVID-19, 27 April 2020",2020-05-29,https://www.gov.uk/government/publications/spi-m-o-consensus-statement-on-covid-19-27-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888757/S0242_SAGE29_200427_SPI-M-O_Consensus_Statement_Redacted.pdf
SAGE 29,2020-04-28,Environmental and Modelling Group (EMG),"Environmental influence on transmission of COVID-19, 28 April 2020",Environmental influence on transmission - 28 April 2020 (updated 2 May 2020),2020-05-26,https://www.gov.uk/government/publications/environmental-influence-on-transmission-of-covid-19-28-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/887618/EMG_Environmental_transmission-_02052020__1_.pdf
SAGE 29,2020-04-28,CO-CIN,"CO-CIN: Investigating associations between ethnicity and outcome from COVID-19 - report to SAGE, 25 April 2020",Investigating associations between ethnicity and outcome from COVID-19 - 25 April 2020,2020-05-20,https://www.gov.uk/government/publications/co-cin-investigating-associations-between-ethnicity-and-outcome-from-covid-19-report-to-sage-25-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/889043/s0238-co-cin-report-ethnicity-outcomes-250420-sage29.pdf
SAGE 29,2020-04-28,CO-CIN,"CO-CIN: Case fatality by age in hospitalised patients, 21 April 2020",Case fatality by age in hospitalised patients (CO-CIN Consortium) - 21 April 2020,2020-05-20,https://www.gov.uk/government/publications/co-cin-case-fatality-by-age-in-hospitalised-patients-21-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/889045/s0240-co-cin-report-age-outcomes-210420-sage29.pdf
SAGE 29,2020-04-28,Dynamic CO-CIN report,"Dynamic CO-CIN report to SAGE and NERVTAG, 27 April 2020","Dynamic CO-CIN report to SAGE and NERVTAG, 27 April 2020",2020-05-20,https://www.gov.uk/government/publications/dynamic-co-cin-report-to-sage-and-nervtag-27-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888245/s0247-co-cin-report-270420-sage29.pdf
SAGE 29,2020-04-28,,"Ethnic composition and outcomes of COVID-19 patients, 28 April 2020",Ethnic composition and outcomes of COVID-19 patients - 28 April 2020,2020-06-05,https://www.gov.uk/government/publications/ethnic-composition-and-outcomes-of-covid-19-patients-28-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890235/s0248-ethnic-composition-outcomes-covid-19-patients-280420-sage29.pdf
SAGE 29,2020-04-28,OpenSAFELY,"OpenSAFELY: Factors associated with COVID-19 related hospital deaths in adult NHS patients, 28 April 2020",OpenSAFELY: Factors associated with COVID-19 related hospital death in the linked electronic health records of 17 million adult NHS patients - 28 April 2020,2020-06-05,https://www.gov.uk/government/publications/opensafely-factors-associated-with-covid-19-related-hospital-deaths-in-adult-nhs-patients-28-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890243/s0250-factors-associated-with-hospital-death-from-covid-19-280420-sage29.pdf
SAGE 29,2020-04-28,King’s College London (KCL) and ZOE,"COVID-19 symptom timing, 27 April 2020",Symptom timing: Analysis by King's College London & ZOE - 27 April 2020,2020-06-05,https://www.gov.uk/government/publications/covid-19-symptom-timing-27-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890163/s0253-symptom-timing-analysis-kcl-zoe-270420-sage29.pdf
SAGE 29,2020-04-28,NERVTAG,"NERVTAG: View on SARS-CoV-2 protective immunity, 27 April 2020",NERVTAG: View on SARS-CoV-2 protective immunity - 27 April 2020,2020-06-19,https://www.gov.uk/government/publications/nervtag-view-on-sars-cov-2-protective-immunity-27-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/893316/S0239_NERVTAG_View_on_SARS-CoV-2_protective_immunity.pdf
SAGE 29,2020-04-28,Home Office,"Home Office: COVID-19 - measures at the border, 27 April 2020",Measures at the border - 27 April 2020,2020-06-19,https://www.gov.uk/government/publications/home-office-covid-19-measures-at-the-border-27-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/893404/S0244_Measures_at_the_border.pdf
SAGE 29,2020-04-28,GOS,"GOS: Testing requirements for COVID-19, 24 April 2020",Testing requirements for COVID-19 - 24 April 2020,2020-06-26,https://www.gov.uk/government/publications/gos-testing-requirements-for-covid-19-24-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/895806/S0241_Testing_requirements_for_Covid-19.pdf
SAGE 29,2020-04-28,SPI-M-O,"SPI-M-O: COVID-19 short-term pilot forecasts, 27 April 2020",SPI-M-O short-term pilot forecasts (S0237) - 27 April 2020,2020-09-11,https://www.gov.uk/government/publications/spi-m-o-covid-19-short-term-pilot-forecasts-27-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/917030/SAGE29_2a._20200426_forecasts_SAGE_S0237_for_release_v2.pdf
SAGE 30,2020-04-30,SAGE Minutes,"SAGE 30 minutes: Coronavirus (COVID-19) response, 30 April 2020",Thirtieth SAGE meeting on COVID-19 - 30 April 2020,2020-05-29,https://www.gov.uk/government/publications/sage-minutes-coronavirus-covid-19-response-30-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888804/S0399_Thirtieth_SAGE_meeting_on_Covid-19_.pdf
SAGE 30,2020-04-30,SPI-B,"SPI-B: Symptom-based contact tracing in comparison to test-based approaches - note, 29 April 2020",Symptom-based contact tracing is likely to reduce adherance to advice to quarantine in comparison to test-based approaches: SPI-B note - 29 April 2020,2020-05-29,https://www.gov.uk/government/publications/spi-b-symptom-based-contact-tracing-in-comparison-to-test-based-approaches-note-29-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888750/7b._20.04.27_SPI-B_behavioural_science_notes_on_symptom_vs_test_based_approaches_S0260.pdf
SAGE 30,2020-04-30,,"An analysis of SARS-CoV-2 viral load by patient age, 30 April 2020",An analysis of SARS-CoV-2 viral load by patient age - 30 April 2020,2020-06-05,https://www.gov.uk/government/publications/an-analysis-of-sars-cov-2-viral-load-by-patient-age-30-april-2020,https://zoonosen.charite.de/fileadmin/user_upload/microsites/m_cc05/virologie-ccm/dateien_upload/Weitere_Dateien/analysis-of-SARS-CoV-2-viral-load-by-patient-age.pdf
SAGE 30,2020-04-30,NERVTAG,"NERVTAG: Quantifying SARS-CoV-2 transmission suggests epidemic control with digital contact tracing, 30 April 2020",Quantifying SARS-CoV-2 transmission suggests epidemic control with digital contact tracing - 30 April 2020,2020-06-05,https://www.gov.uk/government/publications/nervtag-quantifying-sars-cov-2-transmission-suggests-epidemic-control-with-digital-contact-tracing-30-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890244/s0266-quantifying-sars-cov-2-transmission-300420-sage30.pdf
SAGE 30,2020-04-30,NERVTAG,"NERVTAG: Assessment of pre-symptomatic transmission of COVID-19, 30 April 2020",Assessment of pre-symptomatic transmission of COVID-19 - 30 April 2020,2020-06-05,https://www.gov.uk/government/publications/nervtag-assessment-of-pre-symptomatic-transmission-of-covid-19-30-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890236/s0267-nervtag-assessment-pre-symptomatic-transmission-covid-19-300420-sage30.pdf
SAGE 30,2020-04-30,PHE,"PHE: COVID-19: Draft contact tracing operating model, 23 April 2020",PHE COVID-19: Draft contact tracing operating model - 23 April 2020,2020-06-05,https://www.gov.uk/government/publications/phe-covid-19-draft-contact-tracing-operating-model-23-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890182/s0274-covid-19-draft-contact-tracing-operating-model-230420-sage30.pdf
SAGE 30,2020-04-30,PHE,"PHE: Key issues for contact tracing for consideration by NERVTAG, 23 April 2020",Key issues for contact tracing for consideration by NERVTAG - 23 April 2020,2020-06-05,https://www.gov.uk/government/publications/phe-key-issues-for-contact-tracing-for-consideration-by-nervtag-23-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890187/s0275-key-issues-for-contact-tracing-for-consideration-by-nervtag-230420-sage30.pdf
SAGE 30,2020-04-30,PHE,"PHE: Serological surveillance - summary report 2, 28 April 2020",Serological surveillance: summary report 2 - 28 April 2020,2020-06-05,https://www.gov.uk/government/publications/phe-serological-surveillance-summary-report-2-28-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890190/s0281-serological-surveillance-summary-2-280420-sage30.pdf
SAGE 30,2020-04-30,Professor Michael Parker,"Ethics and value judgements involved in developing policy for lifting physical distancing measures, 29 April 2020","Ethical and value judgements involved in developing policy for lifting physical distancing measures, 29 April 2020",2020-06-05,https://www.gov.uk/government/publications/ethics-and-value-judgements-involved-in-developing-policy-for-lifting-physical-distancing-measures-29-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890173/s0263-ethics-emerging-from-lockdown-290420-sage30.pdf
SAGE 30,2020-04-30,"Russell Viner, Rosalind Eggo","Susceptibility and transmission in children: updates from the last few weeks, 29 April 2020",Susceptibility and transmission in children: updates from the last few weeks - 29 April 2020,2020-05-22,https://www.gov.uk/government/publications/susceptibility-and-transmission-in-children-updates-from-the-last-few-weeks-29-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/889050/s0258-viner-eggo-susceptibility-transmission-in-children-updates-250420-sage30.pdf
SAGE 30,2020-04-30,Dynamic CO-CIN report,"Dynamic CO-CIN report to SAGE and NERVTAG, 30 April 2020","Dynamic CO-CIN report to SAGE and NERVTAG, 30 April 2020",2020-05-20,https://www.gov.uk/government/publications/dynamic-co-cin-report-to-sage-and-nervtag-30-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888248/s0276-co-cin-report300420-sage30.pdf
SAGE 30,2020-04-30,TFC,"TFC: Modelling and behavioural science responses to scenarios for relaxing school closures, 30 April 2020",TFC: Modelling and behavioural science responses to scenarios for relaxing school closures - 30 April 2020,2020-05-22,https://www.gov.uk/government/publications/tfc-modelling-and-behavioural-science-responses-to-scenarios-for-relaxing-school-closures-30-april-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/889049/s0257-sage-sub-group-modelling-behavioural-science-relaxing-school-closures-sage30.pdf
